Age,BaCa,Cd,Mn,MnCa,P,Y,Distance
1988.789617,0.0062088195,0.024959732,0.827780127,0.001508824,29.39215548,0.113918959,150.44
1988.800546,0.0041785655,0.018850412,0.459581332,0.000837695,17.34531881,0.059711208,150.2185096
1988.814208,0.0042551286,0.022528369,0.528280427,0.000962915,15.24784904,0.049076523,149.9970192
1988.825137,0.0043229621,0.022665822,0.67782122,0.001235488,20.47829393,0.057951207,149.7755288
1988.838798,0.0043149142,0.016151131,0.580841579,0.00105872,19.87750928,0.054951907,149.5540385
1988.849727,0.0043949412,0.018526988,0.466848582,0.000850941,17.81737626,0.056146521,149.3325481
1988.863388,0.0043965346,0.009038433,0.41952846,0.000764689,14.38908216,0.050559096,149.1110577
1988.874317,0.0043089628,0.010674627,0.407865146,0.00074343,13.24410532,0.042415071,148.8895673
1988.887978,0.0042599113,0.011707886,0.398852592,0.000727003,14.72991671,0.050087935,148.6680769
1988.898907,0.0041991624,0.018477233,0.406742551,0.000741384,17.35773592,0.046241955,148.4465865
1988.912568,0.0041943853,0.025632038,0.360308986,0.000656748,22.91805866,0.04998534,148.2250962
1988.923497,0.0041123154,0.028795218,0.36016429,0.000656484,25.58194472,0.067645643,148.0036058
1988.937158,0.0041991607,0.037768397,0.338940423,0.000617799,25.59967104,0.064459975,147.7821154
1988.948087,0.0042203332,0.043423139,0.32851641,0.000598798,22.00133534,0.06750473,147.560625
1988.961749,0.0041959981,0.036553007,0.335477964,0.000611487,22.56469299,0.051331694,147.3391346
1988.972678,0.0043007986,0.034267121,0.375820355,0.000685021,20.83125761,0.057049729,147.1176442
1988.986339,0.0043066183,0.023954742,0.353164081,0.000643724,18.88169364,0.055741994,146.8961538
1988.997268,0.0043489514,0.028211255,0.393710331,0.00071763,20.68940846,0.060633024,146.6746635
1989.010959,0.0042422953,0.026423922,0.440286641,0.000802526,20.25190423,0.062156531,146.4531731
1989.024658,0.0042770430,0.022897354,0.459370691,0.000837311,21.11820076,0.064539771,146.2316827
1989.032877,0.0043215039,0.026998755,0.450361925,0.00082089,19.16882641,0.050246235,146.0101923
1989.041096,0.0045261147,0.042424346,0.450496575,0.000821136,23.86535549,0.056580873,145.7887019
1989.052055,0.0047225356,0.025874341,0.419462056,0.000764568,22.0742271,0.062396919,145.5672115
1989.060274,0.0051702355,0.025226987,0.39234293,0.000715137,21.80781325,0.088949412,145.3457212
1989.068493,0.0053415180,0.035860782,0.325031557,0.000592446,23.66362955,0.067943393,145.1242308
1989.079452,0.0055919672,0.036132912,0.345744429,0.0006302,18.05913332,0.058214198,144.9027404
1989.112329,0.0057338948,0.023912091,0.397246706,0.000724075,21.05236913,0.068984184,144.68125
1989.123288,0.0056642786,0.025292512,0.41464801,0.000755793,21.5336005,0.071683801,144.4597596
1989.136986,0.0055460693,0.032010101,0.405500001,0.000739119,18.83155364,0.055607368,144.2382692
1989.147945,0.0053401947,0.029936612,0.364029658,0.00066353,19.18144717,0.049137145,144.0167788
1989.158904,0.0052345884,0.018955466,0.309948344,0.000564954,18.9780832,0.050716867,143.7952885
1989.169863,0.0054086474,0.017208959,0.287990078,0.00052493,20.36141233,0.057121018,143.5737981
1989.180822,0.0055027043,0.012966992,0.24787092,0.000451803,18.75139146,0.075030505,143.3523077
1989.194521,0.0056816289,0.017032776,0.249020488,0.000453898,23.27249806,0.074101826,143.1308173
1989.205479,0.0057148239,0.012100221,0.255422258,0.000465567,22.93837477,0.071595604,142.9093269
1989.216438,0.0057368211,0.010138751,0.319201921,0.00058182,19.60882595,0.072339711,142.6878365
1989.227397,0.0058963771,0.011838849,0.367010571,0.000668963,23.37888724,0.084331156,142.4663462
1989.238356,0.0059494551,0.014650801,0.394032539,0.000718217,23.83542346,0.091858007,142.2448558
1989.252055,0.0059415068,0.012976446,0.437112988,0.000796741,18.29036516,0.061075266,142.0233654
1989.263014,0.0060971423,0.010482409,0.334965989,0.000610554,21.39562314,0.072227879,141.801875
1989.273973,0.0062782737,0.011801346,0.243734857,0.000444264,19.60405563,0.06128425,141.5803846
1989.284932,0.0070255828,0.005966671,0.244166949,0.000445052,19.50599468,0.062430368,141.3588942
1989.29863,0.0098093829,0.004743077,0.314955087,0.00057408,13.87117987,0.060631534,141.1374038
1989.350685,0.0098745296,0.007549019,0.336900318,0.00061408,13.48759379,0.062051122,140.9159135
1989.369863,0.0081287773,0.010790838,0.319356445,0.000582102,13.54483024,0.073200164,140.6944231
1989.386301,0.0071335845,0.003614933,0.260728763,0.000475239,14.07863889,0.064737636,140.4729327
1989.405479,0.0068623617,0.001739024,0.237848562,0.000433535,13.11892719,0.052454362,140.2514423
