Age,SrCa,Dist
2001.2,8.9328,142.2
2001.22,9.16271,141.7
2001.24,9.15983,141.2
2001.27,9.12704,140.7
2001.29,9.25777,140.2
2001.31,9.23146,139.7
2001.34,9.26595,139.2
2001.36,9.17963,138.7
2001.38,9.10471,138.2
2001.41,9.27572,137.7
2001.43,9.20324,137.2
2001.46,9.32596,136.7
2001.48,9.36231,136.2
2001.5,9.32122,135.7
2001.53,9.35441,135.2
2001.55,9.43904,134.7
2001.57,9.33504,134.2
2001.6,9.35501,133.7
2001.62,9.50922,133.2
2001.65,9.4603,132.7
2001.69,9.44027,132.2
2001.73,9.481,131.7
2001.76,9.21026,131.2
2001.8,9.37248,130.7
2001.83,9.4399,130.2
2001.87,9.34751,129.7
2001.9,9.34493,129.2
2001.94,9.06992,128.7
2001.97,9.14384,128.2
2002.01,9.12757,127.7
2002.04,9.12284,127.2
2002.08,8.99122,126.7
2002.12,9.10112,126.2
2002.17,9.1926,125.7
2002.21,9.15903,125.2
2002.26,9.31318,124.7
2002.3,9.32218,124.2
2002.35,9.42966,123.7
2002.39,9.39294,123.2
2002.44,9.22141,122.7
2002.48,9.33064,122.2
2002.53,9.20261,121.7
2002.57,9.4074,121.2
2002.62,9.54536,120.7
2002.65,9.43308,120.2
2002.68,9.42898,119.7
2002.71,9.46335,119.2
2002.75,9.47346,118.7
2002.78,9.34383,118.2
2002.81,9.25701,117.7
2002.84,9.28084,117.2
2002.87,9.13156,116.7
2002.91,8.99074,116.2
2002.94,9.36034,115.7
2002.97,9.35723,115.2
2003,9.13143,114.7
2003.04,9.08352,114.2
2003.07,9.30262,113.7
2003.1,9.30507,113.2
2003.13,9.22553,112.7
2003.17,9.14391,112.2
2003.2,9.16192,111.7
2003.23,9.00494,111.2
2003.25,9.24276,110.7
2003.28,9.11575,110.2
2003.3,9.12521,109.7
2003.33,9.2331,109.2
2003.35,9.31336,108.7
2003.38,9.38501,108.2
2003.4,9.34673,107.7
2003.43,9.24953,107.2
2003.45,9.34827,106.7
2003.48,9.40234,106.2
2003.5,9.46797,105.7
2003.53,9.49942,105.2
2003.55,9.55002,104.7
2003.58,9.57412,104.2
2003.61,9.5203,103.7
2003.64,9.49604,103.2
2003.67,9.48221,102.7
2003.7,9.45175,102.2
2003.73,9.32509,101.7
2003.76,9.44761,101.2
2003.79,9.34497,100.7
2003.82,9.24241,100.2
2003.85,9.37204,99.7
2003.88,9.23167,99.2
2003.91,9.23318,98.7
2003.94,9.26238,98.2
2003.98,9.26976,97.7
2004.01,9.17724,97.1
2004.04,9.21428,96.6
2004.07,9.1538,96.1
2004.12,9.24327,95.6
2004.17,9.26505,95.1
2004.22,9.48962,94.6
2004.27,9.47434,94.1
2004.31,9.52537,93.6
2004.36,9.51309,93.1
2004.41,9.52177,92.6
2004.46,9.59473,92.1
2004.5,9.60031,91.6
