Age,d18O,SrCa
1971.166667,-3.99666598,9.45667132
1971.25,-3.95399949,9.36241724
1971.333334,-4.18666665,9.30545286
1971.416667,-4.25766615,9.27449796
1971.5,-4.42485994,9.23407593
1971.583334,-3.99672994,9.29411563
1971.666667,-3.57517569,9.41660032
1971.75,-3.63812726,9.4029391
1971.833334,-4.09498509,9.356731
1971.916667,-4.26960068,9.24831617
1972,-4.44913491,9.1938747
1972.083334,-4.35457479,9.27586891
1972.166667,-4.05919334,9.36622716
1972.25,-4.16307663,9.37326308
1972.333334,-4.20668215,9.40372653
1972.416667,-4.06466868,9.4276428
1972.5,-3.84630063,9.46127666
1972.583333,-4.29483957,9.43689621
1972.666667,-4.28632834,9.49329826
1972.75,-4.21629761,9.52611876
1972.833334,-4.54854676,9.2878205
1972.916667,-4.70943141,9.17850661
1973,-4.84792482,9.23050769
1973.083334,-4.50120959,9.19961192
1973.166667,-4.42644879,9.31911747
1973.25,-4.21132073,9.22175423
1973.333333,-3.91685674,9.47946519
1973.416667,-3.82727641,9.46932477
1973.5,-3.7309173,9.43442548
1973.583333,-3.74236281,9.50442218
1973.666667,-3.77109581,9.40171784
1973.75,-4.12076115,9.5285821
1973.833334,-4.00706717,9.3639983
1973.916667,-4.13265277,9.26761567
1974,-4.42751468,9.22029303
1974.083334,-4.38013355,9.23109006
1974.166667,-4.17855547,9.31878348
1974.25,-4.07499112,9.30615952
1974.333333,-3.77515557,9.37378205
1974.416667,-3.44045417,9.33876433
1974.5,-3.70515509,9.42191028
1974.583333,-3.91915535,9.33343187
1974.666667,-4.01453366,9.3100883
1974.75,-4.02495621,9.21087529
1974.833334,-4.17768967,9.29153824
1974.916667,-4.32854788,9.23293865
1975,-4.31380365,9.27984655
1975.083334,-4.34803357,9.12298102
1975.166667,-4.16330104,9.12978984
1975.25,-3.93663967,9.18505963
1975.333333,-3.91634159,9.24793966
1975.416667,-3.64820639,9.23947887
1975.5,-3.8390244,9.32845582
1975.583333,-3.83524166,9.27402977
1975.666667,-3.86338572,9.38072685
1975.75,-4.18157132,9.36714199
1975.833334,-4.31534014,9.35040311
1975.916667,-4.32005934,9.24018338
1976,-4.41190264,9.24329855
1976.083334,-4.19275621,9.1243401
1976.166667,-4.21392365,9.30777064
1976.25,-3.6527312,9.37558517
1976.333333,-3.71909109,9.40702149
1976.416667,-3.32392982,9.42061895
1976.5,-3.25954636,9.61876356
