Age,d11B
1940,24.62
1941,24.385
1942,24.604
1943,24.135
1944,24.011
1945,24.304
1946,24.453
1947,24.649
1948,24.82
1949,24.188
1950,24.096
1951,24.154
1952,24.161
1953,24.18
1954,23.832
1955,23.339
1956,23.799
1957,24.138
1958,23.942
1959,24.166
1960,24.378
1961,23.605
1962,24.32
1963,24.682
1964,24.216
1965,24.312
1966,24.05
1967,23.895
1968,24.082
1969,24.135
1970,24.469
1971,24.852
1972,24.701
1973,24.4
1974,24.22
1975,24.287
1976,24.29
1977,24.419
1978,24.792
1979,24.599
1980,24.367
1981,24.91
1982,23.819
1983,24.03
1984,23.815
1985,23.78
1986,23.818
1987,23.696
1988,24.276
1989,24.143
1990,23.711
1991,23.469
1992,24.379
1993,24.384
1994,24.288
1995,24.162
1996,24.46
1997,25.263
1998,24.903
1999,23.948
2000,23.474
2001,23.145
2002,23.226
2003,23.077
2004,22.883
2005,22.489
2006,23.612
2007,23.32
2008,23.043
2009,23.033
