Age,BCa,LiCa,LiMg,MgCa,SrCa,UCa
2003.415068,486.0239621,0.00603827,1.714812626,3.521241858,9.25624618,0.001267399
2003.582192,495.9370321,0.005960525,1.74472168,3.41631847,9.275756142,0.001350923
2003.749315,463.0820906,0.005783549,1.599387622,3.616101951,9.167909211,0.001286029
2003.916438,421.2409075,0.005620937,1.427426025,3.937812975,9.031772202,0.001194765
2004.086066,406.8989316,0.005520931,1.375225993,4.014562707,8.983377162,0.001167815
2004.25,434.9388234,0.005712176,1.466783475,3.894355068,9.056056477,0.001204909
2004.416667,479.252192,0.005997165,1.661950605,3.608509884,9.212443979,0.001305118
2004.583333,497.6992568,0.006030902,1.740303003,3.465431945,9.253182613,0.001343334
2004.75,471.5043458,0.005838071,1.622026408,3.599245337,9.160169621,0.001282933
2004.916667,429.9681521,0.005639088,1.459192647,3.864525922,9.054010492,0.001203068
2005.086301,419.5946651,0.005598645,1.405368548,3.983755816,9.01685249,0.001169277
2005.247945,433.8352474,0.005709067,1.469272971,3.885640858,9.057073387,0.001202568
2005.415068,466.0363494,0.005907992,1.642292207,3.597406014,9.190926398,0.001292938
2005.582192,490.8690485,0.005983418,1.685158949,3.550654907,9.202158287,0.001297117
2005.749315,466.87609,0.00590011,1.579679079,3.735005429,9.118185402,0.001254392
2005.916438,411.6500191,0.005629252,1.394504491,4.03673981,8.973315978,0.001177504
2006.086301,411.3926228,0.005565536,1.356907153,4.101633972,8.962935384,0.001139876
2006.247945,428.0876875,0.005636495,1.438582977,3.918087967,9.028044299,0.001187148
2006.415068,466.9092538,0.005798229,1.574346474,3.682943306,9.129131335,0.001251319
2006.582192,506.9432171,0.006088918,1.67049215,3.644984772,9.184771849,0.001274097
2006.749315,498.5786044,0.00607446,1.638814454,3.7066183,9.149757882,0.001256092
2006.916438,450.5748876,0.005799855,1.465275661,3.958200361,9.03042829,0.001177124
2007.086301,414.8690313,0.005586303,1.356388277,4.118513039,8.984531587,0.001136149
2007.247945,440.2919908,0.005775503,1.462534721,3.94896785,9.053549882,0.001194104
2007.415068,483.9362716,0.006041171,1.626145292,3.715025488,9.169200927,0.00124924
2007.582192,502.409012,0.005992149,1.672806394,3.582093615,9.183759938,0.001274381
2007.749315,476.6605296,0.005805815,1.550503443,3.744470851,9.098834804,0.001227412
2007.916438,438.204501,0.005673359,1.421905499,3.989968952,9.012546513,0.001168137
2008.086066,422.615925,0.00567797,1.398290709,4.060650399,9.004764251,0.001167886
2008.25,456.0788479,0.00587367,1.509886805,3.890139277,9.090078342,0.00121028
2008.416667,495.6815094,0.006121973,1.686102645,3.630842558,9.218355496,0.001286604
2008.583333,496.8883239,0.006050364,1.702153644,3.554534499,9.239001083,0.001297574
2008.75,465.6643731,0.005768908,1.52968879,3.771295282,9.094569813,0.001227233
2008.916667,414.0714855,0.005614672,1.346970624,4.168369774,8.970584787,0.001136882
2009.086301,408.7717199,0.00556894,1.328735657,4.191157468,8.957456758,0.001117436
2009.247945,442.4518375,0.005805533,1.464426124,3.964374257,9.03571669,0.001178782
2009.415068,480.3418015,0.006139832,1.592965756,3.854339948,9.117914639,0.00122006
2009.582192,484.953724,0.006125715,1.596652966,3.836597411,9.113924877,0.001223562
2009.749315,465.3026204,0.005948325,1.545953861,3.847673013,9.094048057,0.001224887
2009.916438,437.5599456,0.005764794,1.430134086,4.030946491,9.002281113,0.001162148
2010.086301,419.084044,0.005614606,1.33952576,4.191488194,8.974705337,0.001114259
2010.247945,446.2357181,0.005808135,1.406018962,4.130908352,9.013809565,0.001128352
2010.415068,479.7168694,0.006037815,1.545880336,3.905745546,9.101923119,0.001204749
2010.582192,484.1414922,0.005996823,1.565904709,3.829621734,9.130075265,0.001211394
2010.749315,458.4715626,0.00583496,1.475787475,3.953794104,9.045575831,0.001190897
2010.916438,423.4171606,0.005657845,1.360761924,4.157850674,8.979384997,0.001155066
2011.086301,412.6105206,0.00553366,1.357979852,4.074920199,8.96682173,0.0011606
2011.247945,449.886965,0.005874283,1.471000583,3.993392614,9.038876071,0.001166199
2011.415068,509.947868,0.006125273,1.648417396,3.715850809,9.171428002,0.001236445
2011.582192,529.952728,0.006094153,1.693287114,3.599007384,9.21614156,0.001263137
2011.749315,489.7882318,0.005891408,1.550351555,3.800046265,9.090461653,0.00119953
2011.916438,440.4511462,0.00572519,1.366177318,4.190663584,8.958898944,0.001107166
2012.086066,426.9061438,0.00567992,1.318431629,4.308088244,8.949726154,0.001087338
2012.25,435.6671288,0.005754297,1.427911215,4.02987022,9.07227604,0.001138159
2012.416667,484.4016124,0.006061699,1.603715913,3.779783272,9.181917676,0.001212162
2012.583333,517.5057976,0.006137849,1.669278185,3.676947885,9.202006633,0.001247592
2012.75,491.3673882,0.005931095,1.552476824,3.820407946,9.129024064,0.001209764
2012.916667,460.5888291,0.005820185,1.419728945,4.099504314,9.037103264,0.00113998
2013.086301,443.2523349,0.005646591,1.347365604,4.190838243,8.994771296,0.00110545
2013.247945,472.195117,0.005818299,1.420834317,4.094987328,9.05150184,0.001137477
2013.415068,515.1311717,0.006022892,1.539961367,3.911066684,9.163137026,0.00119763
2013.582192,532.7266794,0.006106791,1.568956184,3.892263405,9.196535546,0.001156826
2013.749315,511.5232296,0.00600224,1.452243297,4.133081706,9.071836697,0.001081005
