Age,Ba138Ca,BaCa,SrCa,UCa
1791.652,0.00382432,0.00371156,9.02522,0.00133752
1791.702,0.00368944,0.0036008,8.92703,0.00132058
1791.752,0.00327584,0.00334094,8.82053,0.00125563
1791.803,0.00350092,0.00343795,8.91091,0.00134597
1791.853,0.00343667,0.00358123,8.69396,0.00130678
1791.903,0.00363099,0.00349007,8.68049,0.00123531
1791.954,0.00355802,0.00383085,8.85819,0.00138768
1792.004,0.00362961,0.003612,8.75997,0.00129325
1792.054,0.00376116,0.00368924,8.73607,0.00116601
1792.104,0.00462466,0.00417531,8.93583,0.00126403
1792.135,0.00384725,0.00368704,8.65448,0.00120221
1792.167,0.00362729,0.00371157,8.67044,0.00117892
1792.198,0.0038198,0.00370477,8.61651,0.0011346
1792.229,0.00363563,0.00369467,8.57317,0.00109272
1792.26,0.0037108,0.00373025,8.79006,0.00110498
1792.291,0.00374782,0.00358892,8.38683,0.00100011
1792.322,0.00364386,0.00364404,8.77908,0.0012406
1792.353,0.00363467,0.00362989,8.63972,0.00118888
1792.384,0.00339015,0.0034794,8.55645,0.00105855
1792.415,0.0035122,0.00351462,8.56899,0.0010586
1792.446,0.00370119,0.00365071,8.75656,0.00119644
1792.477,0.00341345,0.003584,8.5637,0.00114277
1792.508,0.00379803,0.0036359,9.03889,0.00142881
1792.539,0.00373236,0.0037761,8.94216,0.00149578
1792.571,0.0038791,0.0040101,8.973,0.00145627
1792.602,0.00363452,0.00370843,8.61815,0.00121616
1792.635,0.00381444,0.00377736,8.58724,0.00107558
1792.669,0.00371801,0.00376369,8.52479,0.00108013
1792.702,0.00410386,0.00415154,8.81641,0.00122389
1792.736,0.00386332,0.00400085,8.81139,0.00130532
1792.769,0.00410186,0.00407495,8.80708,0.00135628
1792.803,0.00370568,0.00391414,8.5795,0.00119586
1792.836,0.00394254,0.00400737,8.66116,0.00113276
1792.87,0.00409991,0.00416465,8.70612,0.00116779
1792.903,0.00408956,0.00404813,8.71624,0.00124931
1792.937,0.00413348,0.00404877,8.56619,0.001174
1792.97,0.00408557,0.00430058,8.84118,0.00130837
1793.004,0.00481159,0.00426731,8.55914,0.00119755
1793.037,0.00428195,0.00441889,8.94573,0.00126179
1793.071,0.00391875,0.00400579,8.82588,0.00131892
1793.104,0.00442003,0.0042846,8.68997,0.00115243
1793.125,0.00536038,0.00450669,8.63009,0.00104319
1793.146,0.00438182,0.00447598,8.59032,0.00109814
1793.167,0.00418791,0.00411732,8.52865,0.00110214
1793.187,0.00404782,0.00393482,8.71211,0.00118597
1793.208,0.0039498,0.00395121,8.61783,0.00110538
1793.229,0.00446659,0.00442373,8.87593,0.00126642
1793.249,0.00459096,0.00456445,8.92681,0.0012798
1793.27,0.0044365,0.00421025,8.71776,0.00124224
1793.291,0.00394916,0.00405794,8.8578,0.0012571
1793.312,0.0039079,0.00395866,8.68617,0.00117113
1793.332,0.00393217,0.00374674,8.74176,0.00111577
