Age,d15N
1681.3,6.58
1681.65,6.75
1682,6.4
1682.75,6.36
1683.5,6.21
1683.9375,5.95
1684.375,6.16
1684.8125,6.53
1685.25,6.25
1685.625,6.03
1686,6.42
1686.65,6.09
1687.3,6.4
1687.65,6.19
1688,6.39
1688.75,6.06
1689.5,6.39
1690.0625,6.21
1690.625,6.41
1691.1875,6.86
1691.75,6.64
1692.1875,7.07
1692.625,6.8
1693.0625,6.22
1693.5,6.73
1693.75,6.28
1694,6.93
1694.5,7.05
1695,6.92
1695.5,6.54
1696,6.67
1696.5,6.64
1697,6.49
1697.5,7.2
1698,6.7
1698.5,5.87
1699,6.46
1699.5,6.96
1700,6.72
1700.5,5.93
1701,6.15
1701.5,6.86
1702,6.3
1702.75,6.15
1703.5,6.65
1704.0625,6.41
1704.625,6.6
1705.1875,6.51
1705.75,6.26
1706.1875,6.1
1706.625,6.41
1707.0625,7
1707.5,6.65
1707.75,5.75
1708,6.19
1708.75,6.21
1709.5,6.14
1709.75,6.07
1710,6.11
1710.5,6.49
1711,6.3
1712,5.95
1712.5,6.01
1713,6.05
1713.75,5.5
1714.5,6.15
1715,5.76
1715.75,5.81
1716.5,5.99
1716.75,6.13
1717,5.84
1717.875,5.43
1718.75,5.68
1719,5.92
1719.75,5.45
1720.5,6.05
1720.75,6.55
1721,6.32
1722.5,6.12
1722.75,6.04
1723,6.25
1723.5,6.15
1724,6.46
1724.5,7.09
1725,6.84
1725.5,6.7
1726,6.9
1726.5,6.25
1727,7.01
1727.5,6.5
1728,7.09
1728.5,6.83
1729,6.76
1730,6.67
1730.5,6.96
1731,6.49
1731.5,6.06
1732,6.61
1733,6.26
1733.5,6.13
1734,6.01
1735,5.88
1735.5,6.51
1736,6.41
1736.5,6.56
1737,6.89
1738,6.96
1738.5,7.18
1739,7.17
1740.5,7.11
1740.8,6.96
1741.5,6.75
1742,6.68
1742.3,6.43
1742.6,6.75
1743,6.82
1743.5,7.12
1744,6.92
1744.5,6.4
1745,6.21
1745.5,6.17
1746,6.57
1746.3,6.5
1746.6,6.59
1747.3,6.22
1747.6,6.38
1748.5,6.5
1749,6.88
1749.3,7.03
1749.6,6.91
1750,6.41
1750.5,6.41
1751,5.7
1751.5,6.04
1752,6.19
1752.5,6.49
1753,6.56
1754,6.17
1754.5,6.44
1755,6.53
1755.5,6.34
1756,5.52
1756.5,5.88
1757,5.9
1757.3,6.12
1757.6,5.92
1758.3,5.79
1758.6,5.65
1759.3,5.77
1759.8,6.56
1760.5,6.47
1761,7.17
1761.5,6.35
1762,6.36
1762.5,6.46
1763,6.24
1764,6.68
1764.6,6.66
1765.2,6.49
1765.6,6.57
1766,6.43
1766.5,5.5
1766.9,6.27
1767.5,6.12
1767.9,6.13
1768.3,5.51
1768.6,6.11
1769,6.02
1769.75,5.69
1770.3,6.02
1770.9,6.47
1771.5,6.07
1772,6.5
1772.5,7.04
1773,6.65
1773.5,6.99
1774,6.95
1774.5,6.33
1775,6.51
1775.5,5.93
1776,6.46
1776.75,6.31
1777.2,6.01
1777.8,6.24
1778.3,6.13
1778.6,6.2
1779.3,6.57
1779.6,6.78
1780.2,6.92
1780.7,6.83
1781,6.77
1781.8,6.28
1782.3,6.14
1782.8,5.45
1783.3,6.25
1783.6,6.48
1784,6.49
1784.5,6.62
1784.8,6.39
1785.2,6.56
1785.5,6.26
1785.9,5.68
1786.5,5.45
1787,6.13
1787.5,5.46
1788,5.87
1788.2,6.26
1788.9,6.24
1789.4,6.12
1789.9,6.77
1790.3,6.54
1790.6,6.65
1791.3,6.99
1791.6,6.06
1792.3,6.79
1792.8,6.92
1793.4,7.1
1794,6.73
1794.5,6.07
1794.9,6.76
1795.6,6.18
1796,6.33
1796.4,6.27
1796.8,5.22
1797.3,5.51
1797.7,5.85
1798.2,5.49
1798.7,6.32
1799.4,5.76
1799.7,6
1800.6,6.06
1800.9,6.4
1801.7,6.71
1802.3,6.56
1802.6,6.45
1803.1,6.2
1803.5,6.55
1804.1,6.22
