Age,BaCa,BCa,MgCa,Mn,SrCa,UCa,Dist
1985.9161,0.00231557,0.419813773,3.796001503,0.137,8.853688302,0.001009695,94.71
1985.9441,0.002127156,0.417884516,3.592236549,0.157545728,8.831995248,0.0010772,94.37
1985.972,0.002189744,0.404678731,3.396557539,0.127236808,8.797889139,0.001007979,94.03
1986,0.002096084,0.396383438,3.495017561,0.109187491,8.674676946,0.001031867,93.69
1986.028,0.002274766,0.436708766,4.055902985,0.110374967,8.733406032,0.001004989,93.35
1986.0559,0.002291446,0.425120361,4.144896363,0.152120907,8.711852299,0.000994235,93.01
1986.0839,0.002099928,0.419822583,4.067962287,0.133137886,8.761034184,0.000942082,92.66
1986.1119,0.002266355,0.392658758,3.871746796,0.130308347,8.736505517,0.001037047,92.32
1986.1398,0.002093637,0.386296851,3.653519624,0.139053155,8.732619869,0.001052551,91.98
1986.1678,0.002153583,0.430040479,3.653022762,0.11839974,8.788672128,0.00104354,91.64
1986.1957,0.002162882,0.459815195,3.64303071,0.119528456,8.92225548,0.001022836,91.3
1986.2237,0.001922839,0.426889538,3.507639302,0.100749096,8.895512879,0.001030751,90.96
1986.2517,0.002205688,0.443361982,3.328012794,0.095197293,8.971440077,0.00110544,90.62
1986.2796,0.003902392,0.448830422,3.465314873,0.115551349,8.964783086,0.001066054,90.28
1986.3076,0.006072612,0.43246525,3.422139967,0.132532465,9.126833899,0.001194318,89.94
1986.3356,0.002117103,0.393527748,3.084554793,0.149559578,9.085304037,0.001281785,89.6
1986.3635,0.002295745,0.454730969,3.632869285,0.084006647,8.925012388,0.001125016,89.26
1986.3915,0.00211927,0.46014529,3.352311702,0.13217504,8.915812879,0.001142055,88.92
1986.4195,0.002245023,0.468537678,3.487084386,0.094468546,8.989222624,0.001089846,88.57
1986.4474,0.001873561,0.502271651,3.229901483,0.159735802,8.995078603,0.001143899,88.23
1986.4754,0.001901705,0.50144074,3.235979239,0.11470273,9.012121024,0.001164523,87.89
1986.5033,0.00184695,0.499609909,3.364296983,0.094192287,8.918883249,0.001100978,87.55
1986.5313,0.001938483,0.494013551,3.35145077,0.092543439,9.158926725,0.001109551,87.21
1986.5593,0.002024382,0.47530812,3.458675998,0.095353883,9.023322523,0.001104335,86.87
1986.5872,0.001758636,0.484476931,3.127224499,0.081488573,8.99658617,0.001171983,86.53
1986.6152,0.001908204,0.492883613,3.390461559,0.074436373,8.921604088,0.00113218,86.19
1986.6432,0.001881433,0.491788707,3.556484375,0.090553481,9.078768318,0.001046591,85.85
1986.6711,0.002009064,0.487948456,3.487639227,0.092160563,9.042541807,0.00104543,85.51
1986.6991,0.001942223,0.463944659,3.249463675,0.100301397,8.901075064,0.00112422,85.17
1986.7271,0.001915314,0.43660341,3.274679505,0.13996769,8.850649366,0.001071655,84.83
1986.755,0.002045404,0.437950855,3.503529132,0.097213422,8.884216951,0.001053752,84.48
1986.783,0.002293203,0.429868613,3.645262412,0.093649544,8.873036491,0.001032728,84.14
1986.8109,0.002893487,0.503815368,3.498827614,0.100894916,8.927952146,0.001065826,83.8
1986.8389,0.003693196,0.433132895,3.37413385,0.108851302,8.844764545,0.001058183,83.46
1986.8669,0.002588921,0.45323025,3.549385248,0.107733701,8.815253698,0.001040106,83.12
1986.8948,0.002017313,0.433026037,3.558948788,0.111952874,8.946613604,0.00097977,82.78
1986.9228,0.0020891,0.441776663,3.590969199,0.098174511,8.801654206,0.000975211,82.44
1986.9508,0.002172571,0.405037774,3.444936996,0.10646093,8.753841256,0.000985827,82.1
1986.9787,0.002124044,0.402709173,3.717489711,0.111442807,8.571980706,0.000981804,81.76
1987.0067,0.002338957,0.409627133,3.980010103,0.090686802,8.776451395,0.000984843,81.42
1987.0347,0.00201215,0.386433248,3.901801584,0.541599296,8.77961724,0.001010656,81.08
1987.0626,0.002103724,0.391490059,3.915656767,0.094930489,8.764844779,0.00097595,80.73
1987.0906,0.001961554,0.398365855,3.566063615,0.088545387,8.710637935,0.001000557,80.39
1987.1185,0.002163856,0.40051879,3.319987808,0.083978706,8.684850718,0.001021602,80.05
1987.1465,0.002246714,0.411487568,3.584276443,0.093525275,8.723952907,0.000953444,79.71
1987.1745,0.001947869,0.404187746,3.502854262,0.095780435,8.788762151,0.001025698,79.37
1987.2024,0.001830088,0.434610603,3.573112659,0.081647926,8.921582915,0.000986043,79.03
1987.2304,0.00174108,0.406279316,3.814836513,0.077958562,8.61677542,0.000967316,78.69
1987.2584,0.001865594,0.424975647,3.999364516,0.071335049,8.795414887,0.000988211,78.35
1987.2863,0.001711094,0.43941209,3.699048594,0.075016435,8.819745104,0.001041064,78.01
1987.3143,0.001626967,0.463004853,3.770478493,0.067564149,8.877633377,0.000995767,77.67
1987.3423,0.001569768,0.473181091,3.58151131,0.072320637,8.901263843,0.001082473,77.33
1987.3702,0.001671586,0.48524223,3.524240816,0.115070828,8.863627304,0.001024765,76.99
1987.3982,0.001685926,0.516890177,3.490186182,0.114013086,9.00960942,0.001051245,76.64
1987.4261,0.001731305,0.501564223,3.206927717,0.074903041,9.115889895,0.001136662,76.3
1987.4541,0.001817243,0.480240191,3.537334206,0.071253205,9.062465461,0.001091571,75.96
1987.4821,0.001741561,0.514191321,3.706696976,0.105830128,8.909758522,0.001040278,75.62
1987.51,0.001924602,0.517789598,3.717701192,0.118620263,9.024941882,0.00105793,75.28
1987.538,0.001678881,0.52921578,3.235805565,0.123571925,9.139364697,0.001148187,74.94
1987.5958,0.001793282,0.54213257,3.345090124,0.085369918,9.043981037,0.001189515,74.6
1987.6535,0.001615253,0.536951457,3.372901947,0.103623858,9.03015151,0.001125811,74.26
1987.7113,0.001888881,0.511885579,3.636483114,0.174869359,9.006068653,0.001075707,73.92
1987.769,0.001762127,0.504285197,3.706201773,0.117686424,8.859948625,0.001055615,73.58
1987.7957,0.001896115,0.50833007,3.66861217,0.096405669,8.98615942,0.001119676,73.24
1987.8224,0.00196974,0.497347755,3.519522457,0.308925925,9.014381934,0.001162139,72.9
1987.8492,0.002224444,0.484039122,3.76261748,0.170557137,8.95260004,0.001116271,72.55
1987.8759,0.00259762,0.432036066,3.581992141,0.119549666,8.86438969,0.001093106,72.21
1987.9026,0.002857468,0.411256121,3.488788861,0.116794522,8.864824339,0.001124165,71.87
1987.9293,0.004469005,0.414925916,3.537760017,0.1234194,8.967873487,0.001090323,71.53
1987.9561,0.005205844,0.437277142,3.228605095,0.156300791,8.86347574,0.001128178,71.19
1987.9828,0.002462399,0.441887923,3.201546555,0.134312609,8.836959435,0.001166545,70.85
1988.0095,0.002047202,0.45231324,3.424166239,0.117303886,8.815835082,0.001085568,70.51
1988.0362,0.002251396,0.44853708,3.548275302,0.123214954,8.979715348,0.001061652,70.17
1988.0629,0.002346547,0.422707219,3.462615164,0.103310513,8.763963536,0.001052198,69.83
1988.0897,0.002310757,0.42359435,3.712410168,0.094909427,8.8925505,0.001033443,69.49
1988.1164,0.002285212,0.404805884,3.832918897,0.093295974,8.939959006,0.001108489,69.15
