Age,BaCa,Lumin
1952.096,NA,0.481433
1952.115,NA,0.491382
1952.135,NA,0.480735
1952.154,NA,0.481274
1952.173,NA,0.487342
1952.192,NA,0.484616
1952.212,NA,0.48037
1952.231,NA,0.48404
1952.25,NA,0.491082
1952.269,NA,0.481111
1952.288,NA,0.482204
1952.308,NA,0.485475
1952.327,NA,0.490335
1952.346,NA,0.481107
1952.365,NA,0.482114
1952.385,NA,0.489006
1952.404,NA,0.490333
1952.423,NA,0.481986
1952.442,NA,0.469087
1952.462,NA,0.463698
1952.481,NA,0.464463
1952.5,NA,0.48264
1952.519,NA,0.493991
1952.538,NA,0.497109
1952.558,NA,0.502513
1952.577,NA,0.500958
1952.596,NA,0.491799
1952.615,NA,0.479642
1952.635,NA,0.470365
1952.654,NA,0.46669
1952.673,NA,0.462408
1952.692,NA,0.460021
1952.712,NA,0.467693
1952.731,NA,0.476033
1952.75,NA,0.524124
1952.769,NA,0.552799
1952.788,NA,0.547284
1952.808,NA,0.528674
1952.827,NA,0.498346
1952.846,NA,0.504961
1952.865,NA,0.534256
1952.885,NA,0.563513
1952.904,NA,0.580576
1952.923,NA,0.575038
1952.942,NA,0.559259
1952.962,NA,0.564605
1952.981,NA,0.580719
1953,NA,0.597511
1953.019,NA,0.602945
1953.038,NA,0.583785
1953.058,NA,0.58968
1953.077,NA,0.629121
1953.096,NA,0.684158
1953.115,NA,0.692454
1953.135,NA,0.682554
1953.154,NA,0.655096
1953.173,NA,0.608308
1953.192,NA,0.576461
1953.212,NA,0.554563
1953.231,NA,0.543841
1953.25,NA,0.547922
1953.269,NA,0.566989
1953.288,NA,0.585215
1953.308,NA,0.597315
1953.327,NA,0.611032
1953.346,NA,0.626107
1953.365,NA,0.635392
1953.385,NA,0.635919
1953.404,NA,0.627147
1953.423,NA,0.609054
1953.442,NA,0.584279
1953.462,NA,0.559441
1953.481,NA,0.547362
1953.5,NA,0.540021
1953.519,NA,0.548194
1953.538,NA,0.560743
1953.558,NA,0.572058
1953.577,NA,0.577581
1953.596,NA,0.564214
1953.615,NA,0.547617
1953.635,NA,0.530279
1953.654,NA,0.517768
1953.673,NA,0.512818
1953.692,NA,0.512323
1953.712,NA,0.516685
1953.731,NA,0.513786
1953.75,NA,0.513203
1953.769,NA,0.514484
1953.788,NA,0.513123
1953.808,NA,0.504187
1953.827,NA,0.48995
1953.846,NA,0.482791
1953.865,NA,0.481867
1953.885,NA,0.492102
1953.904,NA,0.517121
1953.923,NA,0.534688
1953.942,NA,0.538588
1953.962,NA,0.555506
1953.981,NA,0.556401
1954,NA,0.560304
1954.019,NA,0.574989
1954.038,NA,0.593385
1954.058,NA,0.588686
1954.077,NA,0.586794
1954.096,NA,0.606478
1954.115,NA,0.608311
1954.135,NA,0.601851
1954.154,NA,0.59721
1954.173,NA,0.588435
1954.192,NA,0.57668
1954.212,NA,0.561775
1954.231,NA,0.547132
1954.25,NA,0.532545
1954.269,NA,0.519562
1954.288,NA,0.508585
1954.308,NA,0.497503
1954.327,NA,0.49423
1954.346,NA,0.494972
1954.365,NA,0.504155
1954.385,NA,0.51806
1954.404,NA,0.522407
1954.423,NA,0.526931
1954.442,NA,0.52631
1954.462,NA,0.521618
1954.481,NA,0.514163
1954.5,NA,0.502741
1954.519,NA,0.491375
1954.538,NA,0.494074
1954.558,NA,0.498529
1954.577,NA,0.501826
1954.596,NA,0.501497
1954.615,NA,0.502326
1954.635,NA,0.504651
1954.654,NA,0.50666
1954.673,NA,0.510802
1954.692,NA,0.514421
1954.712,NA,0.508727
1954.731,NA,0.504485
1954.75,NA,0.500861
1954.769,NA,0.497292
1954.788,NA,0.498649
1954.808,NA,0.501998
1954.827,NA,0.507068
1954.846,NA,0.513036
1954.865,NA,0.51948
1954.885,NA,0.526433
1954.904,NA,0.53414
1954.923,NA,0.542113
1954.942,NA,0.549347
1954.962,NA,0.551987
1954.981,NA,0.558261
1955,NA,0.566606
1955.019,NA,0.576652
1955.038,NA,0.586057
1955.058,NA,0.594952
1955.077,NA,0.603234
1955.096,NA,0.617708
1955.115,NA,0.63166
1955.135,NA,0.64368
