Age,Ba138Ca,BaCa,BCa,Cd,CdCa,Ce,CeCa,La,LaCa,LiCa,Lu,LuCa,MgCa,Mn,MnCa,P,PbCa,PCa,Pr,PrCa,SrCa,UCa,Y,Yb,YbCa,YCa,ZnCa,Distance
1969.601648,0.002905053,0.003031063,0.492679416,0.028856191,2.57E-05,53.9747923,3.86E-05,75.3996368,5.43E-05,0.005221503,5.346982998,3.06E-06,2.716445948,0.538445872,0.000980922,6.827092708,0.000167438,0.022059915,12.92255142,9.18E-06,9.445564589,0.001742522,336.827623,35.49214556,2.05E-05,0.000379177,0.005080626,403.629724
1969.629578,0.003477893,0.003513312,0.49274007,0.007437839,6.62E-06,39.15023196,2.80E-05,56.39275282,4.06E-05,0.005447214,4.52857753,2.59E-06,2.610484887,0.400710921,0.000730001,5.871556508,0.000203881,0.018972357,10.23960977,7.27E-06,9.330904284,0.001745404,247.332582,22.56997397,1.31E-05,0.00027843,0.004036273,403.32567
1969.657509,0.003019707,0.003054286,0.475567836,0.014272282,1.27E-05,36.84433575,2.63E-05,54.99044485,3.96E-05,0.005610312,4.366041325,2.50E-06,2.45789621,0.352091249,0.000641428,5.509536574,0.001048481,0.017802587,8.673670838,6.16E-06,9.446803105,0.001795013,256.561371,21.16024958,1.22E-05,0.000288819,0.003403449,403.021616
1969.685439,0.003158752,0.003004578,0.474439414,0.008177815,7.28E-06,48.26048233,3.45E-05,63.0805043,4.55E-05,0.005259298,4.689898515,2.68E-06,2.371317047,0.341872181,0.000622811,4.196297153,0.000674567,0.013559207,10.97534505,7.80E-06,9.481171793,0.001852889,286.165655,25.8788947,1.50E-05,0.000322145,0.003284729,402.717562
1969.71337,0.00336349,0.003170415,0.478139506,0.048317277,4.30E-05,40.64513932,2.90E-05,51.06352428,3.68E-05,0.005278989,4.795642981,2.74E-06,2.657583327,0.34594413,0.000630229,3.765155154,0.000443868,0.012166087,9.568308486,6.80E-06,9.299291621,0.00169403,290.427854,25.87569668,1.50E-05,0.000326943,0.003307126,402.413508
1969.7413,0.003209153,0.003129778,0.457063977,0.015747841,1.40E-05,45.67167773,3.26E-05,68.22988377,4.92E-05,0.005205985,5.116821231,2.93E-06,2.429375542,0.331648573,0.000604186,5.180662851,0.000191433,0.01673992,12.06721472,8.57E-06,9.51510142,0.001849268,330.61477,29.30495313,1.69E-05,0.000372183,0.00327987,402.109454
1969.76923,0.003322832,0.003343171,0.475094386,0.007045539,6.27E-06,45.29266789,3.24E-05,92.54422294,6.67E-05,0.005492236,5.682374156,3.25E-06,2.777509176,0.367267385,0.000669075,5.883092541,0.000224999,0.019009632,16.36512291,1.16E-05,9.276702483,0.001654991,290.071601,24.7468446,1.43E-05,0.000326542,0.002801616,401.8054
1969.797161,0.003507139,0.003462688,0.473719333,0.01244529,1.11E-05,47.55739238,3.40E-05,71.48220695,5.15E-05,0.005566529,5.034959171,2.88E-06,2.938272621,0.386162038,0.000703497,3.989413925,0.000327979,0.012890719,10.78675736,7.66E-06,9.361455814,0.001596529,302.992178,31.43990921,1.82E-05,0.000341087,0.003972404,401.501346
1969.825091,0.003520922,0.003367571,0.458756915,0.007954782,7.08E-06,46.29212789,3.31E-05,75.11254101,5.41E-05,0.005696727,6.706069592,3.84E-06,2.886478436,0.415615861,0.000757155,5.126396313,0.000388667,0.016564572,13.62142666,9.68E-06,9.369934034,0.001583207,375.548531,35.76187695,2.07E-05,0.000422766,0.004522779,401.197292
1969.853022,0.00326142,0.003322852,0.433393382,0.008331265,7.42E-06,60.09498581,4.29E-05,89.51983282,6.45E-05,0.005015936,8.639706636,4.94E-06,2.40484109,0.362136497,0.000659728,5.592333711,0.000112997,0.018070123,16.13924598,1.15E-05,9.284443566,0.001661937,458.798318,46.04229031,2.66E-05,0.000516483,0.004041763,400.893238
1969.880952,0.003217989,0.003090898,0.441705906,0.029143365,2.59E-05,61.69677469,4.41E-05,96.25073132,6.94E-05,0.005027264,7.994166379,4.57E-06,2.9360464,0.462469416,0.000842511,4.915475416,0.000129233,0.015883038,17.78531444,1.26E-05,9.298917957,0.001545845,461.734484,47.58705284,2.75E-05,0.000519788,0.00598967,400.589184
1969.908883,0.003271407,0.003461195,0.453050745,0.014784676,1.32E-05,69.94416795,5.00E-05,98.73563812,7.11E-05,0.005318897,9.144363585,5.23E-06,3.590761024,0.68834023,0.001253995,7.681231671,0.000192457,0.024819836,17.79328051,1.26E-05,9.100957264,0.001446291,481.171846,44.58189657,2.58E-05,0.00054167,0.009736479,400.28513
1969.936813,0.00324244,0.003542185,0.420704402,0.016594242,1.48E-05,71.42140878,5.10E-05,108.8869063,7.85E-05,0.005252001,8.138519563,4.66E-06,3.297682964,0.634514019,0.001155936,7.411933609,0.000150043,0.023949672,18.96249949,1.35E-05,9.179105176,0.001469466,497.682367,45.47083151,2.63E-05,0.000560256,0.007708331,399.981076
1969.964743,0.002823983,0.002845154,0.398879842,0.008469416,7.54E-06,87.90726617,6.28E-05,127.4588825,9.18E-05,0.00476228,9.386130488,5.37E-06,2.481736068,0.408621337,0.000744412,6.859904378,0.000113232,0.022165937,19.62232035,1.39E-05,9.220555046,0.001489995,523.60218,51.74999722,2.99E-05,0.000589435,0.003505421,399.677022
1969.992674,0.002991839,0.002702268,0.425564457,0.013686157,1.22E-05,80.92597637,5.78E-05,118.73553,8.56E-05,0.005018734,9.181169072,5.25E-06,2.707502342,0.401798681,0.000731983,5.297510237,9.49E-05,0.017117481,20.12510171,1.43E-05,9.157311435,0.001449699,528.010974,49.98853942,2.89E-05,0.000594398,0.003477465,399.372968
1970.020604,0.002750369,0.002788651,0.404694634,0.010874115,9.68E-06,74.14630742,5.30E-05,111.270368,8.02E-05,0.00494837,7.502859385,4.29E-06,3.125388278,0.542682349,0.00098864,3.245754615,0.000117218,0.010487784,19.0501576,1.35E-05,8.899567961,0.001269567,468.318052,41.54352907,2.40E-05,0.0005272,0.004270117,399.068914
1970.048535,0.003449179,0.003406446,0.415346072,0.019909085,1.77E-05,77.67829644,5.55E-05,114.2157988,8.23E-05,0.005508879,8.434421824,4.82E-06,3.573527498,0.717732813,0.001307541,5.349777589,0.000142679,0.017286369,17.93731219,1.27E-05,9.050974993,0.001358353,460.699301,44.00865659,2.55E-05,0.000518623,0.005872611,398.76486
1970.076465,0.002807786,0.002950592,0.429199929,0.020538904,1.83E-05,70.37386334,5.03E-05,102.1986209,7.36E-05,0.005917082,7.512657843,4.30E-06,3.904232517,0.738274949,0.001344964,6.290916083,0.000156054,0.020327405,18.30506897,1.30E-05,8.967094028,0.001346994,429.539219,40.01247619,2.31E-05,0.000483545,0.005072348,398.460806
1970.104396,0.002399904,0.002284452,0.408431992,0.012260255,1.09E-05,56.51799256,4.04E-05,96.89692835,6.98E-05,0.005125167,8.035155737,4.60E-06,3.194565644,0.506036452,0.00092188,4.192954561,0.000132905,0.013548406,16.805244,1.19E-05,8.90688403,0.001316154,441.290023,43.48676785,2.52E-05,0.000496773,0.002810868,398.156752
1970.119021,0.002304136,0.002356222,0.418537613,0.015214922,1.35E-05,74.82776121,5.34E-05,134.5244587,9.69E-05,0.004988758,9.596300416,5.49E-06,3.196066936,0.579669946,0.001056023,4.260039526,0.000164317,0.013765173,21.06361959,1.50E-05,8.965125966,0.001305489,561.224885,48.80806579,2.82E-05,0.000631788,0.003796471,397.852698
1970.133646,0.002094565,0.002220184,0.402582681,0.013806351,1.23E-05,78.08897699,5.58E-05,137.1009382,9.88E-05,0.004962313,8.485665236,4.85E-06,2.776922941,0.490605204,0.000893768,4.253498506,0.000100113,0.013744037,22.68910265,1.61E-05,9.057245287,0.001463421,563.740406,46.85657261,2.71E-05,0.00063462,0.003454616,397.548644
1970.148271,0.002273767,0.002398427,0.417194288,0.014370164,1.28E-05,71.83627097,5.13E-05,130.1809994,9.38E-05,0.005260108,9.04077975,5.17E-06,3.069422892,0.548450667,0.000999149,4.467044863,0.000111395,0.014434055,24.57482204,1.75E-05,8.990028995,0.001394501,516.744638,50.28589682,2.91E-05,0.000581715,0.003810067,397.24459
1970.162896,0.002458907,0.002496494,0.426662211,0.012334459,1.10E-05,76.89305769,5.49E-05,131.6676869,9.49E-05,0.005310125,9.763479674,5.58E-06,3.347590194,0.616195727,0.001122564,3.697519865,0.000127637,0.011947542,24.51777774,1.74E-05,8.970043974,0.001383618,515.159727,48.82407574,2.82E-05,0.000579931,0.004715194,396.940536
1970.177521,0.002195788,0.002222739,0.430244808,0.014177666,1.26E-05,77.82698293,5.56E-05,136.6786782,9.85E-05,0.005473997,7.639079815,4.37E-06,3.323080507,0.671813555,0.001223887,2.698768636,0.000145107,0.008720346,23.64897244,1.68E-05,9.025539974,0.001348539,525.591944,43.2154234,2.50E-05,0.000591675,0.005004992,396.636482
1970.192146,0.002613988,0.00264502,0.451234062,0.041681833,3.71E-05,70.22609711,5.02E-05,112.9662269,8.14E-05,0.005889403,7.036609615,4.03E-06,4.236368922,1.398106065,0.002547021,3.252554039,0.00031016,0.010509754,18.00677165,1.28E-05,8.947741591,0.001322527,436.984528,38.94507489,2.25E-05,0.000491927,0.00998123,396.332428
1970.206771,0.001991593,0.00185643,0.424411176,0.012843696,1.14E-05,58.98386701,4.21E-05,116.430665,8.39E-05,0.005191939,6.800869164,3.89E-06,2.851256002,0.589579195,0.001074075,2.538823904,0.000333445,0.008203527,20.17510923,1.43E-05,9.091368258,0.001522677,462.991385,38.55266997,2.23E-05,0.000521203,0.003814688,396.028374
1970.221396,0.002317259,0.002251482,0.436487198,0.007727317,6.88E-06,80.55913609,5.75E-05,151.6019803,0.000109232,0.005688542,9.428816145,5.39E-06,3.131473472,0.657645461,0.001198076,3.778829796,0.000117079,0.012210273,26.86708331,1.91E-05,9.104447531,0.001492252,588.458092,55.82329697,3.23E-05,0.000662445,0.004428727,395.72432
1970.236021,0.00197159,0.001950326,0.44121299,0.012302498,1.10E-05,78.59129937,5.61E-05,148.8830705,0.000107273,0.005086849,9.231104783,5.28E-06,2.756252305,0.499399962,0.00090979,3.193814718,0.000114133,0.010319954,25.62070984,1.82E-05,9.177522203,0.001534336,582.393054,48.90485247,2.83E-05,0.000655617,0.003254244,395.420266
1970.250646,0.002041535,0.001932931,0.452938274,0.012158565,1.08E-05,72.28374625,5.16E-05,133.1229015,9.59E-05,0.005360672,6.175752812,3.53E-06,2.924581056,0.493002709,0.000898135,2.566536331,0.000126025,0.008293072,23.20599844,1.65E-05,9.100496791,0.001465682,501.634115,47.94768938,2.77E-05,0.000564705,0.003544206,395.116212
