Age,BaCa,Ce,Dy,Er,Eu,Gd,Ho,La,Lu,Nd,Pr,Sm,Tb,Tm,Y,Yb,Zr
1999.247945,0.00422,30.95,7.04,6.02,1.05,7.35,2,35.51,1.24,22.4,5.66,4.18,1.11,1.05,144.06,7.31,24.85
1999.330137,0.00467,45.81,7.03,5.08,1.44,6.13,1.73,44.62,1.07,21.61,5.48,3.97,0.99,0.93,140.76,7.02,23.47
1999.49726,0.00316,27.64,5.04,4.06,0.96,4.49,1.27,24.02,0.88,16.19,4.36,3.14,0.73,0.65,106.45,4.63,17.77
1999.582192,0.00314,18.68,4.74,3.63,0.67,3.66,1.16,17.14,0.76,12.38,3,2.69,0.63,0.72,98.01,4.9,17.05
1999.667123,0.00322,23.12,6.06,5.33,0.97,4.74,1.46,20.64,1.03,15.37,4.01,3.59,0.82,0.81,114.92,5.52,23.48
1999.749315,0.0051,29.6,7.54,5.68,1.23,6.29,1.66,26.26,1.32,20.61,5.11,4.92,1.1,1.14,139.35,8.62,36.81
1999.834247,0.00497,22.62,6.27,5.4,1.07,4.98,1.52,22.21,1.33,16.45,4.07,3.64,0.89,1.12,124.89,7.15,18.63
1999.916438,0.00397,18.96,5.3,4.37,0.99,4.59,1.54,21.13,1.09,13.54,3.42,3.51,0.75,0.87,116.41,6.26,12.35
1999.954795,0.00302,25.6,5.63,4.77,0.99,4.9,1.56,25.92,1.19,15.71,3.87,3.42,0.84,0.91,122.18,6.07,14.15
2000.001366,0.00296,25.61,5.19,4.98,0.93,5.26,1.44,23.63,1.13,17.63,4.52,3.77,0.93,0.93,121.84,6.58,18.68
2000.039617,0.00377,18.74,5.75,5,1.1,4.8,1.45,21.3,1.35,13.48,3.62,3.15,0.79,0.95,131.25,7.11,11.9
2000.086066,0.00448,15.39,4.92,4.37,0.87,4.16,1.28,19.27,1.19,12.37,3.09,2.69,0.69,0.78,110.43,6.32,9.26
2000.124317,0.0041,20.25,5.89,5.36,1.04,5.32,1.59,24.63,1.21,15.76,3.88,3.46,0.94,0.97,134.85,7.22,11.36
2000.165301,0.0042,19.31,5.65,4.53,1.04,5.19,1.41,21.65,1.19,14.25,3.64,3.6,0.79,0.87,167.4,6.58,14.43
2000.203552,0.00407,23.34,4.5,3.49,0.96,4.54,1.19,17.68,0.81,14.21,3.27,3.27,0.7,0.64,92.2,5.32,12.96
2000.25,0.00352,32.27,5.85,4.29,1.27,5.32,1.31,23.81,0.9,18.2,4.77,3.83,0.85,0.8,114.85,5.44,19.69
2000.288251,0.00346,18.25,4.05,3.78,0.74,3.93,1.16,17.97,0.88,10.98,2.89,3.1,0.65,0.53,100.9,4.64,26.26
2000.331967,0.00279,19.86,4.37,3.66,1.01,4.59,1.12,16.48,0.81,12.86,3.16,2.81,0.63,0.58,102.02,4.08,36.19
2000.370219,0.00257,25.08,4.43,3.71,0.98,4.24,1.18,19.42,0.81,14.3,3.95,4.31,0.66,0.64,106.92,4.51,36.69
2000.416667,0.00227,19.77,4.37,3.32,0.9,3.83,1.03,16.04,0.75,12.07,3.27,3.28,0.6,0.54,106.06,4.8,14.93
2000.498634,0.00273,38.25,4.81,3.77,1.08,4.98,1.29,23.57,0.89,18.75,5.06,4.21,0.8,0.71,112.45,4.71,25.34
2000.583333,0.00292,40.19,6.05,4.22,1.54,5.62,1.62,27,1.04,21.66,5.9,4.76,1.14,0.79,121.85,5.9,58.19
2000.668033,0.0029,92.24,8.24,5.61,2.19,8.86,2.11,47.47,1.09,40.64,11.25,9.16,1.56,0.83,125.59,6.28,36.06
2000.75,0.00394,44.33,5.56,3.38,1.3,4.51,1.08,26.02,0.73,22.04,5.6,4.6,0.79,0.6,81.85,4.44,30.01
2000.788251,0.00529,46.02,6.35,4.35,1.53,6.96,1.42,30.02,0.87,25.71,6.51,5.95,1.04,0.79,110.29,5.89,35.73
2000.834699,0.0101,45.34,6.83,4.77,1.92,6.3,1.61,30.01,0.98,25.5,6.22,5.97,0.97,0.87,150.77,5.96,53.65
2000.872951,0.0099,26.91,4.33,3.49,1.26,4.02,1.07,18.73,0.73,13.71,4.2,3.6,0.69,0.62,88.63,4.86,28.48
2000.916667,0.00361,23.04,4.51,3.48,0.84,4.25,1.15,18.84,0.89,14.2,3.67,2.95,0.64,0.69,96.36,5.02,19.01
2001.00137,0.00296,20.47,5.53,4.26,0.73,4.83,1.27,19.27,0.97,14.62,3.62,3.94,0.68,0.73,109.2,5.34,NA
2001.039726,0.00306,21.82,4.79,4.08,0.93,4.05,1.14,20.16,0.87,13.48,3.59,3.07,0.66,0.74,101.12,5.43,19.4
2001.086301,0.00337,28,6.47,5.06,1.44,5.59,1.57,25.73,1.11,19.96,4.81,4.24,0.91,0.86,125.01,6.64,16.27
2001.163014,0.00424,23.22,6.3,4.68,1.23,5.22,1.58,24.69,1.24,16.37,4.38,4.44,0.78,0.75,126.06,7.3,9.97
2001.247945,0.00438,18.09,4.71,4.03,0.85,4.27,1.08,18.03,0.79,13.05,3.36,3.03,0.75,0.66,94.7,5.85,5.58
2001.330137,0.0031,49.7,7.33,5.35,1.45,7,1.65,32.57,1,26.73,7.09,6.02,1.12,0.7,118.82,5.96,7.51
2001.415068,0.00278,52.15,6.54,5.39,1.42,6.91,1.61,32.39,0.97,26.87,7.6,6.69,1.13,0.74,123.03,5.15,8.22
2001.49726,0.00292,54.26,5.71,4.11,1.33,6.22,1.41,31.07,0.77,27.34,7.11,4.67,0.89,0.67,98.04,4.43,9.78
2001.535616,0.00212,66.6,6.36,4.81,1.78,6.89,1.5,84.62,0.92,45.05,14.92,6.63,1.05,0.72,119.95,5.9,18.47
2001.582192,0.00229,29.32,4.54,3.65,1.1,4.21,1.04,20.53,0.82,15.14,3.98,3.41,0.63,0.66,130.95,3.89,18.92
2001.620548,0.00256,34.41,6.55,4.35,1.21,5.43,1.43,25.17,1.01,18.9,4.82,4.68,0.96,0.85,130.51,5.54,20.13
2001.667123,0.00288,28.7,5.3,4,0.88,4.69,1.22,21.58,0.73,15.31,4.08,4.08,0.66,0.57,101.91,5.3,8.04
2001.705479,0.0033,63.92,4.03,3.03,0.79,3.39,1.06,17.29,0.66,14.07,3.37,2.87,0.65,0.52,81.47,4.09,11.08
2001.749315,0.0038,26.82,5.39,4.06,1.16,5.01,1.25,21.21,0.66,15.88,4.05,4.49,0.64,0.68,109.87,4.54,34.96
2001.834247,0.0028,65.08,6.77,4.59,1.42,7.29,1.74,33.23,0.97,27.27,7,6.56,1.08,0.79,150,5.76,40.95
2001.916438,0.0029,41.1,6.63,5.32,1.5,7.46,1.68,31.18,1.08,24.85,6.4,5.81,1.13,0.98,166.33,6.89,22.41
2001.954795,0.00396,26.35,4.39,3.99,1.01,4.49,1.19,21.17,0.86,16.18,3.84,3.74,0.84,0.68,129.19,4.46,11.72
2002.086301,0.00505,27.71,4.91,3.46,1.2,4.59,1.16,21.78,0.72,16.09,4.07,4.14,0.65,0.6,130.32,4.34,8.18
