"Age","LuminRange"
1783,0.126
1784,0.112
1785,0.105
1786,0.19
1787,0.14
1788,0.239
1789,0.121
1790,0.217
1791,0.203
1792,0.154
1793,0.087
1794,0.099
1795,0.287
1796,0.126
1797,0.121
1798,0.105
1799,0.081
1800,0.168
1801,0.288
1802,0.238
1803,0.095
1804,0.132
1805,0.085
1806,0.225
1807,0.177
1808,0.201
1809,0.177
1810,0.208
1811,0.248
1812,0.104
1813,0.131
1814,0.187
1815,0.144
1816,0.17
1817,0.269
1818,0.146
1819,0.183
1820,0.115
1821,0.054
1822,0.154
1823,0.2
1824,0.156
1825,0.218
1826,0.266
1827,0.099
1828,0.134
1829,0.171
1830,0.154
1831,0.212
1832,0.135
1833,0.11
1834,0.153
1835,0.177
1836,0.129
1837,0.105
1838,0.225
1839,0.058
1840,0.163
1841,0.179
1842,0.084
1843,0.08
1844,0.118
1845,0.056
1846,0.153
1847,0.124
1848,0.159
1849,0.11
1850,0.107
1851,0.087
1852,0.222
1853,0.057
1854,0.089
1855,0.129
1856,0.177
1857,0.225
1858,0.091
1859,0.28
1860,0.251
1861,0.161
1862,0.14
1863,0.184
1864,0.186
1865,0.055
1866,0.151
1867,0.116
1868,0.171
1869,0.186
1870,0.365
1871,0.102
1872,0.218
1873,0.35
1874,0.127
1875,0.166
1876,0.167
1877,0.16
1878,0.208
1879,0.255
1880,0.205
1881,0.232
1882,0.318
1883,0.086
1884,0.214
1885,0.07
1886,0.072
1887,0.253
1888,0.115
1889,0.065
1890,0.251
1891,0.208
1892,0.061
1893,0.077
1894,0.254
1895,0.233
1896,0.225
1897,0.129
1898,0.177
1899,0.177
1900,0.186
1901,0.192
1902,0.149
1903,0.144
1904,0.108
1905,0.189
1906,0.21
1907,0.148
1908,0.129
1909,0.231
1910,0.133
1911,0.289
1912,0.187
1913,0.102
1914,0.151
1915,0.25
1916,0.214
1917,0.148
1918,0.31
1919,0.183
1920,0.158
1921,0.095
1922,0.296
1923,0.053
1924,0.135
1925,0.133
1926,0.138
1927,0.326
1928,0.184
1929,0.093
1930,0.155
1931,0.1
1932,0.2
1933,0.146
1934,0.186
1935,0.28
1936,0.287
1937,0.109
1938,0.116
1939,0.185
1940,0.145
1941,0.289
1942,0.094
1943,0.164
1944,0.257
1945,0.107
1946,0.177
1947,0.153
1948,0.175
1949,0.185
1950,0.213
1951,0.159
1952,0.119
1953,0.321
1954,0.263
1955,0.271
1956,0.192
1957,0.122
1958,0.226
1959,0.173
1960,0.123
1961,0.113
1962,0.175
1963,0.18
1964,0.155
1965,0.118
1966,0.103
1967,0.165
1968,0.405
1969,0.085
1970,0.165
1971,0.199
1972,0.25
1973,0.185
1974,0.442
1975,0.255
1976,0.254
1977,0.237
1978,0.139
1979,0.306
1980,0.121
1981,0.336
1982,0.113
1983,0.218
1984,0.205
