Age,LuminRange
1661,0.066
1662,0.052
1663,0.175
1664,0.165
1665,0.088
1666,0.032
1667,0.056
1668,0.061
1669,0.077
1670,0.142
1671,0.095
1672,0.06
1673,0.086
1674,0.103
1675,0.129
1676,0.192
1677,0.163
1678,0.185
1679,0.269
1680,0.169
1681,0.186
1682,0.061
1683,0.382
1684,0.176
1685,0.259
1686,0.293
1687,0.151
1688,0.098
1689,0.159
1690,0.128
1691,0.107
1692,0.146
1693,0.2
1694,0.136
1695,0.135
1696,0.245
1697,0.136
1698,0.126
1699,0.138
1700,0.275
1701,0.153
1702,0.218
1703,0.197
1704,0.105
1705,0.227
1706,0.278
1707,0.18
1708,0.293
1709,0.184
1710,0.156
1711,0.135
1712,0.056
1713,0.088
1714,0.11
1715,0.188
1716,0.194
1717,0.28
1718,0.143
1719,0.098
1720,0.21
1721,0.027
1722,0.096
1723,0.141
1724,0.098
1725,0.223
1726,0.195
1727,0.223
1728,0.03
1729,0.068
1730,0.156
1731,0.203
1732,0.167
1733,0.078
1734,0.143
1735,0.153
1736,0.078
1737,0.161
1738,0.057
1739,0.156
1740,0.241
1741,0.197
1742,0.139
1743,0.169
1744,0.135
1745,0.174
1746,0.09
1747,0.12
1748,0.176
1749,0.095
1750,0.059
1751,0.167
1752,0.115
1753,0.173
1754,0.184
1755,0.162
1756,0.117
1757,0.133
1758,0.227
1759,0.27
1760,0.04
1761,0.152
1762,0.056
1763,0.071
1764,0.137
1765,0.112
1766,0.163
1767,0.088
1768,0.159
1769,0.197
1770,0.084
1771,0.084
1772,0.121
1773,0.16
1774,0.102
1775,0.128
1776,0.184
1777,0.176
1778,0.174
1779,0.095
1780,0.143
1781,0.11
1782,0.122
1783,0.117
1784,0.154
1785,0.074
1786,0.143
1787,0.089
1788,0.119
1789,0.116
1790,0.075
1791,0.149
1792,0.097
1793,0.097
1794,0.066
1795,0.282
1796,0.146
1797,0.191
1798,0.109
1799,0.128
1800,0.118
1801,0.216
1802,0.101
1803,0.144
1804,0.137
1805,0.155
1806,0.12
1807,0.113
1808,0.106
1809,0.235
1810,0.244
1811,0.092
1812,0.159
1813,0.041
1814,0.056
1815,0.041
1816,0.116
1817,0.285
1818,0.086
1819,0.088
1820,0.132
1821,0.055
1822,0.082
1823,0.07
1824,0.099
1825,0.116
1826,0.105
1827,0.102
1828,0.142
1829,0.063
1830,0.161
1831,0.136
1832,0.107
1833,0.13
1834,0.159
1835,0.166
1836,0.121
1837,0.101
1838,0.287
1839,0.146
1840,0.155
1841,0.18
1842,0.155
1843,0.244
1844,0.155
1845,0.113
1846,0.103
1847,0.13
1848,0.116
1849,0.126
1850,0.137
1851,0.044
1852,0.115
1853,0.13
1854,0.204
1855,0.152
1856,0.161
1857,0.296
1858,0.187
1859,0.189
1860,0.223
1861,0.183
1862,0.253
1863,0.145
1864,0.263
1865,0.276
1866,0.167
1867,0.055
1868,0.186
1869,0.13
1870,0.075
1871,0.153
1872,0.155
1873,0.099
1874,0.179
1875,0.141
1876,0.187
1877,0.1
1878,0.083
1879,0.129
1880,0.123
1881,0.222
1882,0.139
1883,0.114
1884,0.112
1885,0.133
1886,0.16
1887,0.282
1888,0.244
1889,0.073
1890,0.292
1891,0.177
1892,0.186
1893,0.181
1894,0.164
1895,0.193
1896,0.226
1897,0.095
1898,0.269
1899,0.103
1900,0.114
1901,0.187
1902,0.201
1903,0.055
1904,0.136
1905,0.16
1906,0.201
1907,0.085
1908,0.217
1909,0.063
1910,0.327
1911,0.274
1912,0.047
1913,0.135
1914,0.092
1915,0.03
1916,0.143
1917,0.083
1918,0.346
1919,0.123
1920,0.052
1921,0.109
1922,0.053
1923,0.161
1924,0.111
1925,0.214
1926,0.087
1927,0.138
1928,0.287
1929,0.145
1930,0.205
1931,0.074
1932,0.213
1933,0.067
1934,0.145
1935,0.094
1936,0.206
1937,0.134
1938,0.114
1939,0.109
1940,0.166
1941,0.117
1942,0.107
1943,0.373
1944,0.145
1945,0.05
1946,0.183
1947,0.096
1948,0.107
1949,0.227
1950,0.188
1951,0.093
1952,0.116
1953,0.078
1954,0.137
1955,0.185
1956,0.125
1957,0.063
1958,0.068
1959,0.147
1960,0.27
1961,0.015
1962,0.091
1963,0.121
1964,0.024
1965,0.098
1966,0.091
1967,0.094
1968,0.11
1969,0.065
1970,0.158
1971,0.268
1972,0.108
1973,0.066
1974,0.291
1975,0.035
1976,0.192
1977,0.085
1978,0.075
1979,0.178
1980,0.097
1981,0.019
1982,0.058
1983,0.265
1984,0.152
