Age,Lumin,SrCa,Density,Dist
1992.62,0.673718,9.25151,1.49629,260
1992.71,0.691592,9.16991,1.41631,257.833
1992.79,0.657333,9.15653,1.43318,255.667
1992.88,0.735589,9.16263,1.41156,253.5
1992.96,0.851413,9.12125,1.43605,251.333
1993.04,0.70679,9.09745,1.51255,249.167
1993.12,0.685802,9.03155,1.60157,247
1993.21,0.680116,9.06398,1.593,245.667
1993.29,0.709693,9.13089,1.52682,244.333
1993.38,0.660645,9.17755,1.4841,243
1993.46,0.66367,9.18078,1.49121,241.667
1993.54,0.668296,9.23672,1.473,240.333
1993.62,0.661667,9.25405,1.46467,239
1993.71,0.61587,9.16942,1.48568,237.167
1993.79,0.590237,9.10603,1.41928,235.333
1993.88,0.648457,9.06923,1.4153,233.5
1993.96,0.72251,9.10648,1.457,231.667
1994.04,0.674954,9.09893,1.50016,229.833
1994.12,0.638573,9.04015,1.50431,228
1994.21,0.627624,9.09967,1.50121,227
1994.29,0.617369,9.10244,1.48499,226
1994.38,0.590713,9.14177,1.48251,225
1994.46,0.585332,9.15685,1.48543,224
1994.54,0.582061,9.20347,1.49296,223
1994.62,0.581331,9.24842,1.50151,222
1994.71,0.576775,9.16081,1.4849,220.833
1994.79,0.587164,9.17115,1.46421,219.667
1994.88,0.582733,9.13382,1.43916,218.5
1994.96,0.57629,9.07527,1.43519,217.333
1995.04,0.627179,9.02311,1.47147,216.167
1995.12,0.707252,8.98656,1.5223,215
1995.21,0.76191,9.00616,1.59652,213.167
1995.29,0.635584,9.02659,1.59883,211.333
1995.38,0.631591,9.06414,1.5258,209.5
1995.46,0.599436,9.07055,1.5291,207.667
1995.54,0.602888,9.14393,1.53801,205.833
1995.62,0.61146,9.20542,1.51316,204
1995.71,0.619857,9.16474,1.48133,203.333
1995.79,0.613127,9.12021,1.45562,202.667
1995.88,0.616289,9.07183,1.42695,202
1995.96,0.625175,9.06509,1.42407,201.333
1996.04,0.643164,9.04148,1.41391,200.667
1996.12,0.666825,9.00099,1.41862,200
1996.21,0.760873,9.02208,1.45558,197.833
1996.29,0.764198,9.05989,1.51142,195.667
1996.38,0.652089,9.03038,1.52037,193.5
1996.46,0.620157,9.06033,1.47008,191.333
1996.54,0.66637,9.09186,1.4906,189.167
1996.62,0.62404,9.18119,1.41825,187
1996.71,0.625437,9.16146,1.35068,185.5
1996.79,0.620676,9.1107,1.33221,184
1996.88,0.621678,9.05307,1.37504,182.5
1996.96,0.681008,9.04339,1.41727,181
1997.04,0.75419,8.99949,1.48005,179.5
1997.12,0.731706,8.96926,1.52555,178
1997.21,0.630098,8.99772,1.5376,176.5
1997.29,0.622354,9.0652,1.53312,175
1997.38,0.625967,9.05889,1.5269,173.5
1997.46,0.583592,9.11063,1.52269,172
1997.54,0.593916,9.15753,1.45926,170.5
1997.62,0.595355,9.20907,1.44267,169
1997.71,0.593069,9.15707,1.40151,167.5
1997.79,0.58086,9.05461,1.39469,166
1997.88,0.611231,9.0484,1.42346,164.5
1997.96,0.718909,9.00321,1.48453,163
1998.04,0.754751,8.99433,1.54066,161.5
1998.12,0.670629,8.98116,1.53174,160
1998.21,0.641294,9.01303,1.49168,159
1998.29,0.627635,8.99279,1.46108,158
1998.38,0.63047,9.00806,1.43759,157
1998.46,0.626329,9.07311,1.42469,156
1998.54,0.621553,9.13652,1.44234,155
1998.62,0.594613,9.16503,1.41786,154
1998.71,0.587523,9.14456,1.38888,153.167
1998.79,0.577013,9.09654,1.33033,152.333
1998.88,0.58788,9.0592,1.28528,151.5
1998.96,0.613087,9.03131,1.23061,150.667
1999.04,0.626671,9.00167,1.18283,149.833
1999.12,0.666212,8.9787,1.17174,149
1999.21,0.759321,9.04802,1.25615,147
1999.29,0.780724,9.07763,1.32953,145
1999.38,0.652244,9.00499,1.42915,143
1999.46,0.587489,9.08531,1.46978,141
1999.54,0.565039,9.13308,1.44009,139
1999.62,0.561903,9.19437,1.40583,137
1999.71,0.56561,9.15574,1.28365,134.833
1999.79,0.551021,9.0215,1.19966,132.667
1999.88,0.607484,9.01252,1.24456,130.5
1999.96,0.639236,9.04832,1.26387,128.333
2000.04,0.685932,8.96379,1.36242,126.167
2000.12,0.636015,8.95235,1.43974,124
2000.21,0.583668,8.97515,1.48014,122.833
2000.29,0.570354,9.03169,1.46261,121.667
2000.38,0.542841,9.09526,1.42762,120.5
2000.46,0.505296,9.18141,1.41659,119.333
2000.54,0.481661,9.19972,1.41251,118.167
2000.62,0.476468,9.25,1.34895,117
2000.71,0.493556,9.12303,1.24545,115.167
2000.79,0.672487,9.03949,1.32733,113.333
2000.88,0.60602,9.05132,1.30103,111.5
2000.96,0.710038,9.02144,1.3125,109.667
2001.04,0.698824,9.02216,1.47359,107.833
2001.12,0.538858,8.99447,1.54078,106
2001.21,0.550142,9.00681,1.52114,104.833
2001.29,0.522003,9.03745,1.49618,103.667
2001.38,0.512292,9.07775,1.4532,102.5
2001.46,0.498875,9.16157,1.4513,101.333
2001.54,0.514349,9.21489,1.41302,100.167
2001.62,0.519515,9.22627,1.38693,99
2001.71,0.530401,9.10635,1.37067,98.167
2001.79,0.53088,9.11141,1.36765,97.333
2001.88,0.52397,9.08962,1.37411,96.5
2001.96,0.531996,9.03863,1.38318,95.667
2002.04,0.538283,9.00077,1.39283,94.833
2002.12,0.578231,8.95818,1.39645,94
2002.21,0.639894,9.01488,1.44363,91.833
2002.29,0.532203,9.02322,1.5027,89.667
2002.38,0.499834,9.03365,1.42306,87.5
2002.46,0.488837,9.11008,1.42897,85.333
2002.54,0.498016,9.20001,1.36468,83.167
2002.62,0.514241,9.23428,1.38316,81
2002.71,0.492722,9.14571,1.41434,79.833
2002.79,0.498951,9.03967,1.40845,78.667
2002.88,0.492457,9.03715,1.42575,77.5
2002.96,0.508482,8.98087,1.42912,76.333
2003.04,0.527386,9.01174,1.44609,75.167
2003.12,0.535339,8.96354,1.49319,74
2003.21,0.500394,8.99144,1.49195,72.667
2003.29,0.495664,9.02056,1.45704,71.333
2003.38,0.484157,8.98705,1.42741,70
2003.46,0.482763,9.12101,1.42027,68.667
2003.54,0.476167,9.12855,1.39668,67.333
2003.62,0.446818,9.21067,1.38934,66
2003.71,0.439206,9.16458,1.40739,64.667
2003.79,0.473152,9.07172,1.37694,63.333
2003.88,0.518058,9.06478,1.33851,62
2003.96,0.57146,9.01585,1.31974,60.667
2004.04,0.634282,8.99704,1.31806,59.333
2004.12,0.619229,8.9678,1.34412,58
2004.21,0.558576,9.00243,1.41144,56.667
2004.29,0.518788,8.99814,1.39832,55.333
2004.38,0.52072,9.08239,1.38231,54
2004.46,0.51319,9.08317,1.33753,52.667
2004.54,0.499099,9.20368,1.33984,51.333
2004.62,0.48439,9.23154,1.36194,50
2004.71,0.467413,9.21714,1.3753,49.167
2004.79,0.452622,9.18557,1.36631,48.333
2004.88,0.43616,9.11225,1.3678,47.5
2004.96,0.449458,9.074,1.33943,46.667
