Age,d18O,SrCa,d18Osw
-2535.38,-4.43184,8.8404,-0.08132
-2535.12,-4.13096,8.7327,0.57449
-2535.86,-4.74747,8.6705,0.16295
-2535.7,-4.74249,8.60728,0.37627
-2534.54,-4.72942,8.61849,0.35239
-2534.38,-4.26342,8.6718,0.64273
-2534.12,-3.98755,8.80562,0.47757
-2534.86,-4.97281,8.75277,-0.33349
-2534.62,-5.1153,8.62232,-0.04611
-2534.38,-4.56909,8.70965,0.21232
-2533.207,-4.07542,8.79217,0.43406
-2533.033,-4.24834,8.87441,-0.0099
-2533.86,-5.48387,8.66454,-0.55381
-2533.62,-5.83641,8.64623,-0.84602
-2532.38,-5.21889,8.66365,NA
-2532.12,-4.37017,8.8482,-0.04535
-2532.86,-4.38891,8.60001,0.75382
-2532.7,-5.77685,8.67851,-0.89284
-2532.54,-5.24669,8.72845,-0.52723
-2531.38,-4.35806,8.75398,0.27726
-2531.12,-3.82147,8.99586,0.01673
-2531.86,-4.79638,8.84805,-0.47108
-2531.764,-5.35394,8.72497,-0.62304
-2531.668,-4.8875,8.63958,0.12481
-2531.572,-4.73873,8.41872,1.00142
-2530.476,-4.70461,8.65001,0.27332
-2530.38,-4.43803,8.76903,0.14768
-2530.293,-4.10498,8.88037,0.11382
-2530.207,-4.15706,8.7979,0.33351
-2530.12,-4.2416,8.77736,0.31668
-2530.033,-4.44151,8.70334,0.3607
-2530.947,-4.86452,8.65227,0.10597
-2530.86,-4.72938,8.55801,0.55175
-2530.764,-4.9232,8.52703,0.46002
-2530.668,-4.72516,8.67631,0.1661
-2529.572,-4.57351,8.67888,0.3093
-2529.476,-4.38736,8.70598,0.40615
-2529.38,-4.09948,8.7571,0.52557
-2529.293,-3.94826,8.81514,0.48552
-2529.207,-3.98481,8.87132,0.26382
-2529.12,-4.37859,8.71582,0.38248
-2529.033,-4.51944,8.76022,0.09533
-2529.947,-4.59165,8.68204,0.28075
-2529.86,-4.62399,8.71458,0.14115
-2529.7,-4.72706,8.65327,0.24014
-2528.54,-4.59033,8.62832,0.45909
-2528.38,-4.15339,8.83529,0.21397
-2528.12,-3.7849,8.91087,0.33338
-2528.86,-5.05011,8.75278,-0.41084
-2528.74,-5.47775,8.58685,-0.29165
-2528.62,-5.27314,8.61273,-0.17233
-2527.5,-4.74006,8.69468,0.09066
-2527.38,-4.3952,8.76092,0.21725
-2527.12,-4.20938,8.97344,-0.29728
-2527.86,-5.0461,8.66362,-0.11301
-2527.62,-5.56024,8.43902,0.113
-2526.38,-4.60012,8.62927,0.44617
-2526.86,-4.18586,8.86429,0.08593
-2526.7,-6.08039,8.61849,-0.99856
-2526.54,-5.88884,8.43148,-0.19073
-2525.38,-4.79553,8.68211,0.07663
-2525.12,-4.51008,8.82667,-0.11431
-2525.86,-5.39144,8.63822,-0.37464
-2525.62,-5.41374,8.60226,-0.27845
-2525.38,-4.96,8.68953,-0.11228
-2524.12,-4.42,8.80257,0.05518
-2524.86,-4.48828,8.86739,-0.2267
-2524.74,-4.98256,8.68316,-0.11386
-2524.62,-4.92641,8.66549,0.00052
-2524.5,-4.58294,8.65949,0.36375
-2523.38,-4.25359,8.79175,0.25725
-2523.207,-3.94665,8.89463,0.22515
-2523.033,-4.51423,8.78494,0.01906
-2523.86,-5.06123,8.61603,0.02869
-2523.62,-5.13973,8.63011,-0.0962
-2522.38,-4.56647,8.66805,0.35204
-2522.207,-3.44495,8.9061,0.68906
-2522.033,-4.19738,8.83654,0.16586
-2522.86,-4.95463,8.71542,-0.19223
-2522.62,-4.982,8.46738,0.5978
-2521.38,-4.25834,8.67817,0.62679
-2521.25,-3.87,8.8052,0.59653
-2521.12,-4.16616,8.81567,0.26584
-2521.99,-4.74855,8.67347,0.15207
-2521.86,-4.99863,8.67278,-0.09573
-2521.7,-5.07884,8.64372,-0.08016
-2520.54,-4.67743,8.63804,0.33995
-2520.38,-4.4726,8.68422,0.39261
-2520.207,-4.0446,8.89946,0.1113
-2520.033,-4.48657,8.81762,-0.06096
-2520.86,-5.22357,8.70168,-0.4159
-2520.7,-5.56168,8.6293,-0.51549
-2519.54,-4.8834,8.68344,-0.01562
-2519.38,-4.4444,8.81468,-0.00911
-2519.12,-4.17126,9.02458,-0.4277
-2519.86,-5.22491,8.73738,-0.53489
-2519.764,-5.7023,8.68534,-0.84079
-2519.668,-5.57103,8.56713,-0.31996
-2519.572,-5.15774,8.70993,-0.37726
-2519.476,-4.75659,8.69682,0.06709
-2518.38,-4.50343,8.69256,0.33431
-2518.12,-4.25863,8.86278,0.01815
-2518.86,-4.43546,8.97101,-0.51538
-2518.78,-5.36178,8.71341,-0.59277
-2518.7,-5.32797,8.68713,-0.47234
-2518.62,-5.05224,8.72194,-0.31134
-2518.54,-5.05987,8.70818,-0.27361
-2517.46,-4.88522,8.74766,-0.22906
-2517.38,-4.48475,8.78956,0.03331
-2517.207,-4.29028,8.91938,-0.20003
-2517.033,-4.36689,8.91362,-0.25765
-2517.86,-5.14117,8.794,-0.63775
-2517.62,-5.30602,8.54455,0.01946
-2517.38,-4.31743,8.75014,0.33053
-2517.12,-3.77676,8.71022,1.00276
-2516.86,-4.01252,8.82407,0.39181
-2516.38,-4.79956,8.76075,-0.18656
-2516.25,-4.0422,8.95218,-0.06003
-2516.12,-4.24406,8.9066,-0.11169
-2516.99,-4.77,8.80331,-0.29724
-2516.86,-4.80814,8.72713,-0.08433
-2516.7,-4.82242,8.76297,-0.21675
-2515.54,-4.7971,8.76002,-0.1817
-2515.38,-4.41144,8.84723,-0.08341
-2515.86,-4.2649,8.90399,-0.12393
-2515.7,-5.36051,8.73031,-0.6472
-2515.54,-5.08847,8.68847,-0.23727
-2514.38,-4.60628,8.75684,0.01962
-2514.12,-4.31953,8.92673,-0.2535
-2514.86,-4.4953,8.83542,-0.12838
-2514.7,-5.21717,8.67012,-0.3055
-2514.54,-5.15918,8.59159,0.01128
-2513.38,-4.57644,8.67646,0.31435
-2513.86,-3.93761,8.98156,-0.05227
-2513.7,-4.94448,8.50569,0.50906
-2513.54,-4.81705,8.48237,0.71335
-2513.38,-4.46206,8.57778,0.75391
-2512.207,-4.09743,8.68205,0.77493
-2512.033,-4.18493,8.75885,0.43432
-2512.86,-5.39061,8.60122,-0.25187
-2512.764,-5.38039,8.51479,0.04316
-2512.668,-5.24524,8.37315,0.64507
-2512.572,-5.12442,8.55864,0.15463
-2511.476,-4.61019,8.68458,0.25382
-2511.38,-4.35746,8.64605,0.63353
-2511.207,-4.15021,8.87796,0.07652
-2511.033,-4.96601,8.82224,-0.55564
-2511.86,-5.2198,8.72791,-0.49859
-2511.7,-5.56839,8.72945,-0.85224
-2510.54,-5.0964,8.74038,-0.41627
-2510.38,-4.61631,8.72487,0.11493
-2510.207,-4.11589,9.08043,-0.55637
-2510.033,-4.14124,8.89986,0.01334
-2510.86,-4.42562,8.87878,-0.20159
-2510.74,-5.07996,8.77166,-0.50291
-2510.62,-4.92005,8.68926,-0.07146
-2509.5,-4.74514,8.70667,0.04607
