Age,LuminGB
1921.583,0.86474694
1921.667,0.896495924
1921.75,0.9020238
1921.833,0.906446071
1921.917,0.925960222
1922,0.9377336
1922.083,0.925174239
1922.167,0.92674362
1922.25,0.906510203
1922.333,0.900859415
1922.417,0.903041598
1922.5,0.891058466
1922.583,0.864155543
1922.667,0.874006326
1922.75,0.878525507
1922.833,0.878513026
1922.917,0.888124639
1923,0.89819383
1923.083,0.88200473
1923.167,0.891706665
1923.25,0.882385076
1923.333,0.882771359
1923.417,0.876922607
1923.5,0.872463828
1923.583,0.865481212
1923.667,0.868419794
1923.75,0.869608087
1923.833,0.876096076
1923.917,0.869118628
1924,0.881896659
1924.083,0.908309677
1924.167,0.891661186
1924.25,0.888934015
1924.333,0.878797873
1924.417,0.87109148
1924.5,0.887985755
1924.583,0.86672027
1924.667,0.872466386
1924.75,0.878953628
1924.833,0.879677156
1924.917,0.902647862
1925,0.903938065
1925.083,0.879032258
1925.167,0.882308751
1925.25,0.865671642
1925.333,0.869230769
1925.417,0.873111093
1925.5,0.865911103
1925.583,0.86050217
1925.667,0.869338448
1925.75,0.869790828
1925.833,0.874132585
1925.917,0.860363457
1926,0.881344546
1926.083,0.86440678
1926.167,0.864923184
1926.25,0.857142857
1926.333,0.867354446
1926.417,0.856549939
1926.5,0.868939247
1926.583,0.862162841
1926.667,0.868852459
1926.75,0.871502766
1926.833,0.887496322
1926.917,0.905599695
1927,0.913331361
1927.083,0.9006141
1927.167,0.910016791
1927.25,0.888996811
1927.333,0.882103934
1927.417,0.89397046
1927.5,0.888889933
1927.583,0.868919168
1927.667,0.875968992
1927.75,0.880655302
1927.833,0.921259843
1927.917,0.925417513
1928,0.920976823
1928.083,0.930933197
1928.167,0.916107067
1928.25,0.917241379
1928.333,0.905109489
1928.417,0.88122007
1928.5,0.871018469
1928.583,0.866418731
1928.667,0.891302663
1928.75,0.896323681
1928.833,0.885496183
1928.917,0.883776792
1929,0.918612206
1929.083,0.925928017
1929.167,0.918905242
1929.25,0.910958904
1929.333,0.896966788
1929.417,0.872103785
1929.5,0.885964912
1929.583,0.867392663
1929.667,0.866071429
1929.75,0.882269844
1929.833,0.886557828
1929.917,0.9079469
1930,0.911995511
1930.083,0.907092265
1930.167,0.902255512
1930.25,0.880041984
1930.333,0.876379425
1930.417,0.872180451
1930.5,0.867334207
1930.583,0.862719771
1930.667,0.874938189
1930.75,0.875900787
1930.833,0.87392105
1930.917,0.876566157
1931,0.891479543
1931.083,0.889327833
1931.167,0.878315674
1931.25,0.876337737
1931.333,0.867647059
1931.417,0.852936693
1931.5,0.844406311
1931.583,0.8359375
1931.667,0.863942601
1931.75,0.85900582
1931.833,0.854595797
1931.917,0.844396543
1932,0.858915473
1932.083,0.84496124
1932.167,0.852588501
1932.25,0.84358273
1932.333,0.847591466
1932.417,0.833576035
1932.5,0.840057485
1932.583,0.821246234
1932.667,0.853977046
1932.75,0.840405789
1932.833,0.85840708
1932.917,0.884628899
1933,0.903887524
1933.083,0.885831069
1933.167,0.878805635
1933.25,0.88778942
1933.333,0.883006184
1933.417,0.865304355
1933.5,0.86590767
1933.583,0.861230617
1933.667,0.881723166
1933.75,0.883727212
1933.833,0.873116877
1933.917,0.889979839
1934,0.894343719
1934.083,0.902495028
1934.167,0.878519141
1934.25,0.868734127
1934.333,0.857274176
1934.417,0.857660977
1934.5,0.832310739
1934.583,0.829761339
1934.667,0.835671849
1934.75,0.839277619
1934.833,0.84
1934.917,0.831082147
1935,0.839510973
1935.083,0.839958828
1935.167,0.838302681
1935.25,0.828159848
1935.333,0.822525175
1935.417,0.819085602
1935.5,0.833333333
1935.583,0.819183123
1935.667,0.830400431
1935.75,0.841726619
1935.833,0.843951774
1935.917,0.8658063
1936,0.847222222
1936.083,0.847182477
1936.167,0.844723406
1936.25,0.830156412
1936.333,0.819573052
1936.417,0.814093708
1936.5,0.818389642
1936.583,0.804292094
1936.667,0.804692253
1936.75,0.813209885
1936.833,0.83682922
1936.917,0.865369383
1937,0.888889611
1937.083,0.883481796
1937.167,0.888882372
1937.25,0.872303437
1937.333,0.849207151
1937.417,0.839737179
1937.5,0.850993995
1937.583,0.823767641
1937.667,0.8339565
1937.75,0.835099886
1937.833,0.838028169
1937.917,0.853645697
1938,0.847826087
1938.083,0.864221306
1938.167,0.86057745
1938.25,0.846564419
1938.333,0.84298075
1938.417,0.837265522
1938.5,0.839416058
1938.583,0.812563705
1938.667,0.84572782
1938.75,0.852386333
1938.833,0.874487709
1938.917,0.858900967
1939,0.853821167
1939.083,0.852714365
1939.167,0.854287072
1939.25,0.823773317
1939.333,0.824817518
1939.417,0.819722829
1939.5,0.822848661
1939.583,0.816476087
1939.667,0.838674448
1939.75,0.850443446
1939.833,0.861264696
1939.917,0.869014659
1940,0.876230298
1940.083,0.869300371
1940.167,0.868477234
1940.25,0.854130816
1940.333,0.852035196
1940.417,0.83117679
1940.5,0.822222222
1940.583,0.819103547
1940.667,0.8329862
1940.75,0.824739295
1940.833,0.823650412
1940.917,0.832448118
1941,0.828963282
1941.083,0.833956236
1941.167,0.824641764
1941.25,0.823529412
1941.333,0.823886572
1941.417,0.805647549
1941.5,0.794979661
1941.583,0.788707338
1941.667,0.801420149
1941.75,0.82055514
1941.833,0.837606838
1941.917,0.854216494
1942,0.888635045
1942.083,0.910303728
1942.167,0.926197939
1942.25,0.925652408
1942.333,0.887658055
1942.417,0.869978822
1942.5,0.877542339
1942.583,0.862221215
1942.667,0.88929308
1942.75,0.896399243
1942.833,0.908407786
1942.917,0.918995791
1943,0.913122845
1943.083,0.892523379
1943.167,0.871358407
1943.25,0.849965742
1943.333,0.850746269
1943.417,0.853364442
1943.5,0.84763336
1943.583,0.835804503
1943.667,0.843082787
1943.75,0.858212658
1943.833,0.865300719
1943.917,0.881871962
1944,0.879372432
1944.083,0.874237042
1944.167,0.86800714
1944.25,0.858902007
1944.333,0.841391573
1944.417,0.844974208
1944.5,0.840909091
1944.583,0.82135607
1944.667,0.844805867
1944.75,0.83663169
1944.833,0.845889537
1944.917,0.843285623
1945,0.852443963
1945.083,0.846715328
1945.167,0.845131558
1945.25,0.826808128
1945.333,0.831786791
1945.417,0.845899571
1945.5,0.81294964
1945.583,0.760281727
1945.667,0.78750099
1945.75,0.826475646
1945.833,0.846229196
1945.917,0.859338185
1946,0.852116825
1946.083,0.850240877
1946.167,0.835171452
1946.25,0.821889527
1946.333,0.815603714
1946.417,0.803227697
1946.5,0.802094913
1946.583,0.801834897
1946.667,0.820084939
1946.75,0.827716443
1946.833,0.823309065
1946.917,0.851952883
1947,0.873822404
1947.083,0.886410052
1947.167,0.914884024
1947.25,0.950962952
1947.333,0.907232043
1947.417,0.884253866
1947.5,0.872739323
1947.583,0.835228417
1947.667,0.855855856
1947.75,0.864330266
1947.833,0.838316487
1947.917,0.838300105
1948,0.871309095
1948.083,0.877639281
1948.167,0.887187423
1948.25,0.881250456
1948.333,0.873186511
1948.417,0.853673158
1948.5,0.851918769
1948.583,0.824411833
1948.667,0.84677068
1948.75,0.850813752
1948.833,0.922539341
1948.917,0.984253835
1949,0.938999027
1949.083,0.926933214
1949.167,0.937064394
1949.25,0.910290567
1949.333,0.903998368
1949.417,0.849916961
1949.5,0.871903387
1949.583,0.853450623
1949.667,0.868932733
1949.75,0.89437424
1949.833,0.91455459
1949.917,0.963890614
1950,0.975941589
1950.083,0.984121145
1950.167,0.960761093
1950.25,0.962031835
1950.333,0.939625366
1950.417,0.93195319
1950.5,0.929951725
1950.583,0.908623441
1950.667,0.923108457
1950.75,0.971157415
1950.833,0.994521338
1950.917,0.997484942
1951,0.918218876
1951.083,0.915214012
1951.167,0.903540461
1951.25,0.904455326
1951.333,0.875932631
1951.417,0.889505976
1951.5,0.845542362
1951.583,0.846766253
1951.667,0.853305098
1951.75,0.877832985
1951.833,0.899136939
1951.917,0.912103596
1952,0.934458329
1952.083,0.901331558
1952.167,0.903505237
1952.25,0.871274333
1952.333,0.876208641
1952.417,0.874770407
1952.5,0.864513519
1952.583,0.852279527
1952.667,0.889902072
1952.75,0.890943047
1952.833,0.888875615
1952.917,0.914742561
1953,0.912679571
1953.083,0.920635242
1953.167,0.894849975
1953.25,0.9060623
1953.333,0.864377021
1953.417,0.860372405
1953.5,0.867264032
1953.583,0.857377809
1953.667,0.860108394
1953.75,0.89541865
1953.833,0.893416129
1953.917,0.928825873
1954,0.990216974
1954.083,0.991926058
1954.167,0.933698056
1954.25,0.906500573
1954.333,0.901769589
1954.417,0.912853573
1954.5,0.874077947
1954.583,0.868022626
1954.667,0.880453312
1954.75,0.876046302
1954.833,0.894736842
1954.917,0.938482973
1955,0.925016025
1955.083,0.985691878
1955.167,0.979772202
1955.25,0.951147479
1955.333,0.959338088
